Date,Description,Amount
02/08/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,47.52
02/08/2025,AplPay WHOLE FOODS MSAN FRANCISCO       CA,4.69
02/08/2025,GRUBHUB*TAQUERIAVALLNEW YORK            NY,44.60
02/08/2025,RSMT 9              LAS VEGAS           NV,29.33
02/07/2025,AMAZON MARKEPLACE NA PA,8.67
02/07/2025,AMAZON MARKEPLACE NA PA,10.42
02/07/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,46.77
02/07/2025,GUITARCENTER.COM INTWESTLAKE VILL       CA,575.69
02/07/2025,PREPLY INC. 528569  BROOKLINE           MA,5.70
02/07/2025,PREPLY INC. 528569  BROOKLINE           MA,42.00
02/05/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,19.14
02/05/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,19.97
02/05/2025,PAYPAL *EBAY SHIP   8665403229          CA,2.02
02/04/2025,AMAZON MARKEPLACE NA PA,7.99
02/04/2025,Amazon Prime        Amazon.com          WA,8.14
02/04/2025,BOB'S DONUTS POLK   San Francisco       CA,6.50
02/04/2025,PAYPAL *EBAY 800-4564029357733          CA,14.11
02/04/2025,PAYPAL *EBAY 800-4564029357733          CA,15.19
02/03/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,73.88
02/03/2025,H&R BLOCKS ONLINE TA800-472-5625        MO,137.00
02/03/2025,MUSIC CITY REHEARSALSAN FRANCISCO       CA,30.00
02/03/2025,PAYPAL *EBAY 800-4564029357733          CA,147.19
02/02/2025,AplPay PAYRANGE MOBIPORTLAND            OR,25.00
02/02/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,43.00
02/02/2025,PAYPAL *EBAY 800-4564029357733          CA,-198.24
02/01/2025,AMAZON.COM          AMZN.COM/BILL       WA,27.03
02/01/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,39.33
02/01/2025,CLEAR  *CLEARME.COM CLEARME.COM         NY,-50.00
02/01/2025,CLEAR  *CLEARME.COM CLEARME.COM         NY,50.00
02/01/2025,PAYPAL *EBAY 800-4564029357733          CA,-35.85
02/01/2025,PAYPAL *EBAY 800-4564029357733          CA,198.24
